"NETCD","STATCD","PARAMCD","PTID","DAYDT","HOURAV","VFLAGCD","FREQ_IN","PARAMDSB"
1,4,4,4,"2018-10-11 04:59:00.000",11.1389923095703,9,"1h","NO2"
1,5,25,8,"2018-10-11 04:59:00.000",36.8742218017578,9,"1h","PM10"
1,8,4,4,"2018-10-11 04:59:00.000",6.25569295883179,9,"1h","NO2"
1,18,25,16,"2018-10-11 04:59:00.000",28.8156204223633,9,"1h","PM10"
28,2,25,19,"2018-10-11 04:59:00.000",36.5407905578613,9,"1h","PM10"
28,2,7,25,"2018-10-11 04:59:00.000",43.4913787841797,9,"1h","O3"
28,11,4,14,"2018-10-11 04:59:00.000",14.3184757232666,9,"1h","NO2"
28,12,7,6,"2018-10-11 04:59:00.000",37.6023979187012,9,"1h","O3"
28,13,25,5,"2018-10-11 04:59:00.000",23.9200000762939,9,"1h","PM10"
3,2,4,4,"2018-10-11 04:59:00.000",13.2602682113647,9,"1h","NO2"
3,2,25,17,"2018-10-11 04:59:00.000",21.5844898223877,9,"1h","PM10"
3,6,4,4,"2018-10-11 04:59:00.000",9.3312349319458,9,"1h","NO2"
3,7,4,4,"2018-10-11 04:59:00.000",5.06164884567261,10,"1h","NO2"
3,7,7,5,"2018-10-11 04:59:00.000",80.7710494995117,9,"1h","O3"
3,8,4,4,"2018-10-11 04:59:00.000",36.0166473388672,10,"1h","NO2"
3,10,4,4,"2018-10-11 04:59:00.000",4.25518655776978,9,"1h","NO2"
3,10,7,5,"2018-10-11 04:59:00.000",78.682502746582,10,"1h","O3"
2,6,4,4,"2018-10-11 05:59:00.000",9.50556087493896,9,"1h","NO2"
2,6,25,6,"2018-10-11 05:59:00.000",21.9780197143555,9,"1h","PM10"
2,6,7,26,"2018-10-11 05:59:00.000",82.1977920532227,9,"1h","O3"
2,12,25,11,"2018-10-11 05:59:00.000",30.2747097015381,9,"1h","PM10"
2,20,4,4,"2018-10-11 05:59:00.000",21.2335433959961,9,"1h","NO2"
2,22,4,3,"2018-10-11 05:59:00.000",18.7434425354004,9,"1h","NO2"
